Geneid	alignment_29/RNA-29Aligned.sortedByCoord.out.bam	alignment_30/RNA-30Aligned.sortedByCoord.out.bam	alignment_31/RNA-31Aligned.sortedByCoord.out.bam	alignment_32/RNA-32Aligned.sortedByCoord.out.bam
LOC105373685	0	0	0	0
RND3	0	4	0	0
LINC01920	0	0	0	0
LINC02612	0	0	0	0
LOC105373686	0	0	0	0
LOC107985825	0	0	0	0
LOC107985826	0	0	0	0
RBM43	0	0	0	0
NMI	2	1	3	1
LOC107985827	0	0	0	0
LOC101929319	0	0	0	0
TNFAIP6	0	0	0	0
MIR4773-2	0	0	0	0
MIR4773-1	0	0	0	0
RIF1	3	0	3	3
NEB	33	31	30	38
LOC101929356	0	0	0	0
ARL5A	0	0	0	4
CACNB4	0	0	0	0
STAM2	0	0	1	0
LOC105373689	2	3	5	3
LOC105373688	0	0	0	0
FMNL2	10	16	15	26
LOC105373690	0	3	0	5
PRPF40A	7	12	11	10
ARL6IP6	24	30	34	27
LOC105373691	0	0	0	0
LOC107985950	3	2	3	1
LINC01850	0	4	0	1
RPRM	0	0	0	0
GALNT13	0	0	0	0
LOC100144595	0	0	0	0
LOC105373692	0	0	0	0
LOC105373694	0	0	0	0
LOC105373693	0	0	0	0
KCNJ3	0	0	0	0
LOC105373696	0	0	0	0
LOC107985952	0	0	0	0
LOC105373698	0	0	0	0
LOC105373699	0	0	0	0
LOC105373700	0	0	0	0
LOC107985953	0	0	0	0
LOC107985828	0	0	0	0
LOC105373703	0	0	0	0
LINC01876	0	0	0	0
NR4A2	0	0	1	1
FLJ46875	1	1	2	0
TRA-CGC3-1	0	0	0	0
TRG-GCC2-2	0	0	0	0
GPD2	1	1	2	1
LOC105373707	0	0	0	0
LINC01958	0	0	0	0
LOC107985955	0	0	0	0
LOC105373710	0	0	0	0
LOC105373709	0	0	0	0
GALNT5	6	1	5	9
ERMN	14	16	15	9
FAM133DP	0	0	0	0
LOC105373711	0	0	0	0
CYTIP	0	0	0	0
LOC105373712	0	0	0	0
ACVR1C	0	0	1	0
LOC105373713	0	0	0	0
ACVR1	0	0	1	1
LOC105373714	0	0	0	0
UPP2	0	0	0	0
CCDC148-AS1	0	0	0	0
CCDC148	0	0	0	0
PKP4	4	0	0	2
LOC105373715	0	0	0	0
LOC107985780	0	0	0	0
PKP4-AS1	154	123	145	128
DAPL1	0	0	0	0
TANC1	4	2	3	1
MIR6888	0	0	0	0
LOC105373716	17	41	27	49
WDSUB1	4	14	4	14
BAZ2B	26	28	20	16
LOC643072	6	16	6	12
MARCHF7	36	3	25	10
LY75-CD302	0	0	0	0
CD302	0	0	0	0
LY75	0	0	0	0
PLA2R1	0	0	0	0
LOC105373717	0	0	0	0
ITGB6	1	1	0	0
LINC02478	0	0	0	0
RBMS1	0	0	0	0
MIR4785	0	0	0	0
LOC105373718	0	0	0	0
TANK-AS1	0	0	0	0
TANK	1	1	0	1
LOC101929512	12	7	4	12
LINC01806	0	0	0	0
PSMD14	0	1	0	1
TBR1	0	0	0	0
LOC105373720	0	0	0	0
AHCTF1P1	0	0	0	0
SLC4A10	1	0	2	0
LOC105373722	0	0	0	0
DPP4	0	0	0	1
DPP4-DT	0	0	7	1
LOC101929532	0	2	0	0
GCG	0	0	0	0
FAP	0	0	0	0
LOC105373724	0	0	0	0
IFIH1	2	0	0	0
GCA	1	1	0	2
KCNH7	1	1	1	0
KCNH7-AS1	0	0	0	0
LOC105373727	0	0	0	0
LOC107985829	0	0	0	0
LOC105373728	0	0	0	0
FIGN	0	0	0	0
LOC107985957	0	0	0	0
GRB14	1	0	0	1
COBLL1	2	0	0	0
SNORA70F	0	0	0	0
LOC101929633	0	0	0	0
SLC38A11	0	0	0	0
SCN3A	0	0	0	0
SCN2A	0	0	0	0
CSRNP3	0	0	0	0
GALNT3	8	6	9	13
LOC105373730	0	0	0	0
LOC100506124	0	0	0	1
TTC21B	0	0	0	0
TTC21B-AS1	0	1	0	2
LOC102724058	0	0	0	0
SCN1A	0	0	0	0
SCN1A-AS1	2	0	1	1
SCN9A	0	0	0	0
SCN7A	0	0	0	0
LOC107985958	0	0	0	0
XIRP2	0	0	0	0
XIRP2-AS1	0	0	0	0
B3GALT1	0	0	0	2
B3GALT1-AS1	51	100	59	68
STK39	3	1	0	2
LOC107985959	1	0	1	0
LOC105373733	0	0	0	0
LOC105373734	0	0	0	0
LOC102724081	0	0	1	0
CERS6	5	2	7	6
MIR4774	0	0	0	0
CERS6-AS1	5242	3936	3516	4262
NOSTRIN	2	2	2	2
SPC25	0	0	0	0
G6PC2	0	0	0	0
ABCB11	0	0	0	0
DHRS9	0	0	0	0
LRP2	0	0	0	0
BBS5	1	1	0	0
KLHL41	0	0	0	1
FASTKD1	1	0	0	1
PPIG	26	16	9	32
CCDC173	1	1	0	0
PHOSPHO2-KLHL23	0	0	0	0
PHOSPHO2	0	0	0	0
KLHL23	0	0	0	0
SSB	249	133	147	183
METTL5	538	262	348	403
SNORD3K	1	3	3	4
UBR3	0	0	1	0
MYO3B	0	0	0	2
LOC105373735	0	0	0	0
MYO3B-AS1	0	0	0	0
LOC100130256	0	0	0	0
LOC101926913	0	0	0	0
LINC01124	0	0	0	0
SP5	0	0	0	0
ERICH2	0	3	1	0
GAD1	0	1	0	1
GORASP2	1	2	0	2
TLK1	2	0	6	1
LOC107983995	0	0	0	0
LOC105373737	0	0	0	0
METTL8	12	8	9	14
DCAF17	12	5	8	5
CYBRD1	0	0	0	1
DYNC1I2	1	2	3	9
SLC25A12	0	2	0	6
LOC105373739	0	0	0	0
LOC105373740	0	0	0	0
HAT1	1	0	4	3
METAP1D	0	0	0	1
DLX1	0	0	0	0
DLX2	0	0	0	0
DLX2-DT	0	0	0	0
LOC105373741	0	0	0	0
LOC107985960	1	0	3	1
LOC105376738	0	0	0	0
LOC105373742	0	0	0	0
ITGA6	13	23	17	28
ITGA6-AS1	0	1	1	0
PDK1	4	6	8	2
RAPGEF4-AS1	0	1	0	0
RAPGEF4	0	0	0	0
MAP3K20	0	1	0	0
MAP3K20-AS1	87	108	83	63
LOC105373743	0	0	0	0
CDCA7	0	0	3	0
LOC105373744	0	0	0	0
LOC107985961	0	0	0	0
LOC105373745	0	0	0	0
SP3	0	1	6	5
LINC01960	0	0	0	0
LOC105373746	0	0	0	0
OLA1	2	1	2	3
LINC01305	0	0	0	0
LOC102724194	0	0	0	0
SP9	3	0	3	2
CIR1	3	1	2	7
SCRN3	0	1	2	1
GPR155	7	6	8	5
LOC105373748	0	0	0	0
WIPF1	0	0	0	0
H3P6	1	1	0	3
CHRNA1	0	0	0	0
LOC105373750	0	0	0	0
CHN1	0	0	0	0
ATF2	0	1	0	0
MIR933	2	0	0	0
ATP5MC3	2	3	2	10
LOC105373752	0	0	0	0
LOC107985962	0	0	1	0
LNPK	0	0	0	0
LOC107985830	0	0	0	0
EVX2	0	0	0	0
HOXD13	5	5	4	2
HOXD12	0	0	0	0
LOC107985805	0	0	0	0
HOXD11	0	0	0	0
HOXD10	0	0	0	0
HOXD9	0	0	0	0
LOC100129455	0	0	0	0
HOXD8	9	5	5	5
HOXD-AS2	2	4	4	9
LOC401021	17	16	12	12
MIR10B	0	0	0	0
HOXD4	0	0	0	0
HOXD3	0	0	0	0
HAGLR	4	7	2	2
HAGLROS	0	0	0	0
HOXD1	0	0	0	0
MIR7704	0	0	0	0
MTX2	0	0	0	1
MIR1246	0	0	0	0
LOC105373754	0	0	0	0
LINC01116	0	0	0	0
LINC01117	0	0	0	0
LOC105369143	0	0	0	0
LOC101929963	0	0	0	0
LOC105373757	0	0	0	0
LOC107985966	0	0	0	0
LOC105373756	0	0	0	0
LOC107985965	0	0	0	0
LOC105373760	0	0	0	0
LOC105373759	0	0	0	0
HNRNPA3	31	19	10	20
MIR4444-1	0	0	0	0
NFE2L2	12	4	5	4
MIR3128	0	0	0	0
LOC100130691	1	0	0	1
MIR6512	0	0	0	0
AGPS	3	0	0	5
LOC105373762	0	0	0	0
TTC30B	3	1	1	1
TTC30A	0	0	0	0
PDE11A	0	0	0	0
PDE11A-AS1	0	0	1	0
RBM45	0	0	0	0
OSBPL6	0	0	0	0
CHROMR	14	30	14	23
PRKRA	16	13	14	11
PJVK	4	2	9	3
FKBP7	47	43	39	43
PLEKHA3	2	0	1	0
TTN-AS1	0	0	0	0
TTN	197	293	212	272
LOC101927055	0	0	0	0
CCDC141	0	0	0	0
LOC105373766	0	0	0	0
SESTD1	0	0	0	1
ZNF385B	0	0	0	0
LOC101927073	0	0	0	0
LOC107985967	0	0	0	0
MIR1258	0	0	0	0
CWC22	3	3	0	1
EPCART	0	0	0	0
LOC105373768	0	0	0	0
LOC105373769	0	0	0	0
LOC105373770	0	0	0	0
SCHLAP1	0	0	0	0
LOC105373771	0	0	0	0
LOC105373772	0	0	0	0
UBE2E3	0	1	1	0
LOC107985831	0	0	0	0
LINC01934	0	0	0	0
MIR4437	0	0	0	0
ITGA4	0	0	0	1
CERKL	0	0	0	0
NEUROD1	0	0	0	0
ITPRID2	8	4	4	6
PPP1R1C	0	0	0	0
LOC102724288	0	0	0	0
PDE1A	0	0	0	1
LOC101929976	0	0	0	0
DNAJC10	0	0	2	1
FRZB	0	0	0	0
NCKAP1	1	8	7	1
DUSP19	0	0	0	0
NUP35	0	3	1	1
LOC105373774	0	0	0	0
LOC105373775	0	0	0	0
LOC105373777	0	0	0	0
LOC102724340	0	0	0	0
LOC105373776	0	0	0	0
MIR548AE1	0	0	0	0
LOC107985968	0	0	0	0
LOC105373779	0	0	0	0
LOC105373780	0	0	0	0
ZNF804A	0	0	0	0
LOC105373782	0	0	0	0
LOC105373781	0	0	0	0
LOC107985832	0	0	0	0
FSIP2-AS2	0	0	0	0
LOC107985782	3	0	2	3
FSIP2	2	9	4	6
FSIP2-AS1	23	35	17	43
LOC107985783	0	0	0	0
LINC01473	0	0	0	0
LOC105373785	0	0	0	0
ZC3H15	2	1	0	1
LOC107985784	1	0	1	0
ITGAV	0	2	2	2
FAM171B	0	0	0	1
ZSWIM2	0	0	0	0
LOC105373786	0	0	0	0
CALCRL	0	0	0	0
TFPI	0	0	0	0
LOC105373788	0	0	0	0
LINC01090	0	0	0	0
GULP1	8	25	10	16
MIR561	0	0	0	0
LOC105373790	0	0	0	0
DIRC1	0	0	0	0
LOC105373791	0	0	0	0
COL3A1	0	0	0	0
MIR1245A	0	0	0	0
MIR1245B	0	0	0	0
MIR3606	0	0	0	0
COL5A2	0	0	0	0
MIR3129	0	0	0	0
LOC101927252	0	0	0	0
WDR75	0	0	1	2
SLC40A1	0	0	0	0
ASNSD1	0	0	0	0
ASDURF	0	0	0	0
LOC105373793	11	7	5	8
ANKAR	35	17	21	33
OSGEPL1	5	10	6	12
OSGEPL1-AS1	12	2	4	5
ORMDL1	20	20	14	19
PMS1	73	83	52	59
LOC105373796	29	39	32	27
C2orf88	3	8	7	12
LOC105373795	0	0	0	0
MSTN	0	0	0	0
LOC105373794	0	0	0	0
HIBCH	0	0	0	3
INPP1	2	1	2	3
MFSD6	33	32	18	48
LOC105373802	0	1	0	2
NEMP2	16	18	29	19
LOC105376748	3	15	7	9
NAB1	1	0	3	1
GLS	24	29	29	35
STAT1	1	3	0	4
LOC105373805	0	0	1	0
LOC107985785	0	1	1	4
STAT4	0	1	0	0
LOC105373804	0	0	0	0
MYO1B	7	4	5	3
LOC107985833	0	0	0	0
NABP1	0	0	0	0
NABP1-OT1	0	0	0	0
LOC105373811	0	0	0	0
LOC105373812	0	0	0	0
LOC729254	0	0	0	0
CAVIN2	0	0	0	0
TMEFF2	0	0	0	0
CAVIN2-AS1	0	0	0	0
LOC101927366	0	0	0	0
LOC105376754	0	0	0	0
LOC112268441	0	0	0	0
PCGEM1	0	0	0	0
LOC107985969	0	0	0	0
LOC105373815	0	0	0	0
LINC01821	0	0	0	0
LOC105373816	0	0	0	0
LOC105376755	0	0	0	0
LINC01790	0	0	0	0
LOC105373817	0	0	0	0
LINC01827	0	0	0	0
SLC39A10	7	2	3	14
DNAH7	31	27	12	24
LOC107985972	6	4	4	1
LOC105373819	0	0	0	0
STK17B	1	0	0	0
LOC101927454	3	13	8	8
HECW2	0	0	0	0
HECW2-AS1	0	0	0	0
LOC105373822	0	0	0	0
LOC105373821	0	0	0	0
LOC105373823	0	0	0	0
CCDC150	0	1	0	2
LOC100130452	0	0	0	0
GTF3C3	1	6	3	4
C2orf66	0	1	0	0
PGAP1	0	1	1	2
ANKRD44	0	0	0	0
ANKRD44-AS1	0	0	0	0
LOC105373826	0	0	0	0
ANKRD44-IT1	0	0	0	0
LOC105373824	0	0	0	0
SF3B1	1	5	6	4
COQ10B	1	1	1	1
HSPD1	128	65	88	73
SNORA105B	0	0	0	0
HSPE1-MOB4	0	0	0	0
HSPE1	0	0	1	1
MOB4	0	0	0	0
RFTN2	13	15	6	8
MARS2	0	0	2	1
BOLL	0	1	0	0
LOC105373828	0	0	0	0
PLCL1	0	0	0	0
LINC01923	0	0	0	0
LOC105373831	0	0	0	0
LOC105373830	0	0	0	0
SATB2	146	106	141	151
SATB2-AS1	0	0	1	0
LINC01877	0	0	1	0
FTCDNL1	0	0	0	1
LOC101927687	0	0	0	0
C2orf69	3	2	4	2
TYW5	46	33	35	37
MAIP1	4	10	13	12
LOC105373833	0	0	0	0
SPATS2L	2	2	1	6
LOC107985786	0	1	0	0
LOC101927741	781	597	619	674
KCTD18	1	4	2	1
SGO2	0	0	1	1
AOX1	0	0	0	0
AOX3P-AOX2P	1	0	0	0
LINC01792	0	0	0	0
BZW1-AS1	386	335	334	310
BZW1	5	3	4	4
CLK1	1	5	3	2
PPIL3	0	0	0	0
NIF3L1	4	0	3	1
ORC2	5	9	6	7
LOC105373835	41	33	46	37
FAM126B	17	12	13	14
NDUFB3	1	1	1	1
LOC105373836	0	0	0	0
CFLAR	2	2	1	1
CFLAR-AS1	67	66	82	56
CASP10	0	0	0	1
CASP8	1	5	0	7
FLACC1	0	0	0	1
TRAK2	0	0	0	2
STRADB	0	0	0	1
C2CD6	0	4	3	1
TMEM237	3	0	0	1
MPP4	0	0	1	0
ALS2	0	0	0	1
CDK15	0	0	0	0
FZD7	0	0	1	0
KIAA2012	1	1	1	1
KIAA2012-AS1	0	0	0	0
SUMO1	1	1	3	7
NOP58	6	1	3	12
SNORD70	0	0	0	0
SNORD70B	0	0	0	0
SNORD11B	0	0	0	0
SNORD11	0	0	0	0
LOC107985976	0	0	0	0
BMPR2	0	4	3	0
FAM117B	0	5	0	2
ICA1L	1	1	2	4
WDR12	1	1	0	1
CARF	0	0	2	1
NBEAL1	3	0	1	2
CYP20A1	21	15	21	14
ABI2	13	18	20	15
RAPH1	2	4	8	5
CD28	0	0	0	0
CTLA4	0	0	0	0
LOC101927840	0	0	0	0
ICOS	0	0	0	0
LOC105373845	0	0	0	0
PARD3B	1	1	2	2
NRP2	0	0	0	0
LOC105373847	0	0	0	0
INO80D	0	0	0	0
LOC105373848	0	0	0	0
NDUFS1	0	0	0	0
GCSHP3	0	0	0	0
EEF1B2	0	0	0	0
SNORD51	0	0	0	0
SNORA41	0	0	0	0
CMKLR2	0	0	0	0
GPR1-AS	0	0	0	0
ZDBF2	0	0	0	0
ADAM23	0	0	0	0
FAM237A	0	0	0	0
DYTN	0	0	0	0
MDH1B	0	3	0	2
FASTKD2	1	0	0	0
MIR3130-2	0	0	0	0
MIR3130-1	0	0	0	1
CPO	0	0	0	0
KLF7	1	0	1	0
MIR2355	0	0	0	0
MIR7845	0	0	0	0
MYOSLID-AS1	0	0	0	0
MYOSLID	0	1	0	1
LINC01802	0	0	0	0
MIR1302-4	0	0	0	0
LOC105373851	0	0	0	0
CREB1	68	49	51	60
METTL21A	50	47	32	50
LINC01857	0	0	0	0
CCNYL1	198	147	159	177
FZD5	197	150	188	159
MIR4775	0	0	0	0
PLEKHM3	1	0	1	1
LOC105373854	0	0	0	0
LOC100507443	0	0	0	0
CRYGD	0	0	0	0
CRYGC	0	0	0	0
CRYGB	0	0	0	0
CRYGA	0	0	0	0
C2orf80	0	0	0	0
IDH1	14	6	8	12
IDH1-AS1	2	1	0	0
PIKFYVE	1	0	1	1
PTH2R	0	0	0	1
LOC105373855	0	0	0	0
LOC101927960	0	0	0	0
LOC105373857	0	0	0	0
LOC105373856	0	0	0	0
MAP2	0	0	0	0
UNC80	0	0	0	0
RPE	4	11	5	9
KANSL1L	165	142	136	215
KANSL1L-AS1	0	2	3	2
LOC112268429	0	0	0	0
LOC107985977	0	0	0	0
ACADL	0	0	0	0
MYL1	0	0	0	0
LANCL1-AS1	0	4	2	3
LANCL1	0	1	1	1
CPS1	0	0	0	0
CPS1-IT1	0	0	0	0
LOC107985978	0	0	0	0
ERBB4	0	0	0	0
MIR548F2	0	0	0	0
LOC107985979	0	0	0	0
LINC01878	0	0	0	0
MIR4776-1	0	0	0	0
MIR4776-2	0	0	0	0
LOC102725082	0	0	0	0
LOC107985980	0	1	0	0
IKZF2	17	7	14	7
LINC01953	0	0	0	0
LOC105373864	0	0	0	0
LOC107985981	0	0	0	0
SPAG16-DT	0	0	0	0
SPAG16	0	0	1	0
MIR4438	0	0	0	0
LOC101928084	0	0	1	0
VWC2L	0	0	0	0
VWC2L-IT1	0	0	0	0
BARD1	0	0	0	1
SNHG31	0	0	0	0
SNORA70I	0	0	0	0
ABCA12	2	0	0	0
ATIC	2	0	1	0
FN1	2	8	2	11
LOC112268430	13	6	6	5
LOC105373868	0	0	0	0
LOC102724849	0	0	0	0
LOC102724861	0	0	0	0
LINC00607	0	0	0	0
LINC01614	0	0	0	0
LOC105373870	0	0	0	0
MREG	0	0	0	0
PECR	0	0	0	0
TMEM169	0	0	0	0
XRCC5	5	1	4	1
LINC01963	1	0	0	0
MARCHF4	0	0	0	0
LOC107985983	0	0	0	0
SMARCAL1-AS1	3	1	1	2
LOC107985984	0	0	0	0
SMARCAL1	2	0	0	0
RPL37A-DT	61	48	41	36
RPL37A	6	8	1	14
LOC101928156	0	0	0	0
LOC101928180	0	0	0	0
LOC105373871	0	0	0	0
LINC01280	0	0	0	0
IGFBP2	9	4	1	16
IGFBP5	0	0	0	0
LOC101928278	0	0	0	0
TNP1	0	0	0	0
LOC105373876	0	0	0	0
LINC01921	0	0	0	0
LOC105373874	0	0	0	0
LOC105373873	0	0	0	0
LOC105373872	0	0	0	0
DIRC3-AS1	0	0	0	0
DIRC3	0	0	0	0
TNS1	0	0	0	0
SNORA115	0	0	0	0
MIR6809	0	0	0	0
TNS1-AS1	1	3	1	0
RUFY4	0	0	0	0
CXCR2P1	0	0	0	0
CXCR2	0	0	0	0
CXCR1	0	0	0	0
LOC101928487	0	0	0	0
ARPC2	5	1	10	5
TRY-ATA1-1	0	0	0	0
GPBAR1	0	0	0	0
AAMP	0	1	3	0
PNKD	3	6	3	4
TMBIM1	1	2	3	0
MIR6513	0	0	0	0
LOC105373881	0	0	0	0
LOC105373880	0	0	0	0
CATIP-AS2	0	0	0	0
MIR6810	0	0	0	0
CATIP	5	1	4	5
CATIP-AS1	0	0	0	0
SLC11A1	1	2	1	3
CTDSP1	12	8	5	11
MIR26B	0	0	0	0
VIL1	168	133	161	172
USP37	836	539	661	644
CNOT9	2	2	1	3
PLCD4	99	70	95	99
ZNF142	19	22	23	23
BCS1L	13	6	13	10
RNF25	0	2	2	2
STK36	0	0	1	0
TTLL4	1	2	0	0
CYP27A1	0	0	0	0
LOC107985986	0	0	0	0
PRKAG3	0	0	0	2
MIR9500	0	0	0	0
WNT6	0	0	0	0
WNT10A	0	0	0	0
LOC107984111	0	0	0	0
LOC105373882	0	0	0	0
LINC01494	1	0	0	0
CDK5R2	0	0	0	0
LINC00608	0	0	0	0
FEV	0	0	0	0
CRYBA2	0	0	0	0
MIR375	0	0	0	0
LOC100129175	0	0	0	3
CFAP65	2	0	1	1
LOC107985987	0	0	0	0
IHH	5	3	3	5
MIR3131	0	0	0	0
NHEJ1	1	1	0	4
SLC23A3	0	0	0	2
CNPPD1	7	3	2	4
RETREG2	2	1	1	7
ZFAND2B	0	1	0	1
ABCB6	0	0	0	0
ATG9A	3	1	1	2
ANKZF1	14	3	6	5
GLB1L	43	44	32	49
STK16	60	31	42	49
TUBA4A	54	35	43	32
TUBA4B	1	0	1	1
DNAJB2	0	0	0	5
PTPRN	1	0	0	0
MIR153-1	0	0	0	0
RESP18	1	0	0	0
LOC107985835	0	0	0	0
LOC105373883	0	0	0	0
DNPEP	2	0	1	3
LOC105373884	0	0	2	0
DES	0	0	0	0
SPEG	0	1	3	5
ASIC4-AS1	0	0	0	0
SPEGNB	9	3	6	3
GMPPA	0	0	0	0
ASIC4	0	0	0	0
CHPF	9	7	6	4
TMEM198	43	32	47	38
MIR3132	0	0	0	0
OBSL1	0	2	0	1
INHA	0	0	0	0
STK11IP	5	0	1	1
SLC4A3	0	0	0	1
LINC02832	0	0	0	0
LOC105373887	0	0	0	0
LOC105373888	0	0	0	0
LINC01803	0	0	0	0
LOC105373890	0	0	0	0
MIR4268	0	0	0	0
LOC105373891	0	0	0	0
LOC105373893	0	0	0	0
LOC105373894	0	0	0	0
LOC105373895	0	0	0	0
LOC105373896	0	0	0	0
LOC107985989	0	0	0	0
LOC107985988	0	0	0	0
LOC107985990	0	0	0	0
EPHA4	0	0	0	0
LOC105373897	0	0	0	0
LOC105373899	0	0	0	0
LOC105373898	0	0	0	0
LOC105373900	0	0	0	0
PAX3	1	1	0	0
LOC107985991	0	0	0	0
CCDC140	0	0	0	0
CT75	5	7	5	2
SGPP2	53	44	38	53
FARSB	3	0	1	0
LOC105373902	5	9	6	7
MOGAT1	0	0	0	0
LOC105373903	0	0	0	0
ACSL3	4	3	2	0
ACSL3-AS1	3	2	1	3
KCNE4	0	0	0	0
LOC105373905	0	0	0	0
LOC105373906	0	0	0	0
LOC105373907	0	0	0	0
SCG2	0	0	0	0
AP1S3	0	0	0	0
WDFY1	1	0	1	3
MRPL44	0	0	0	1
SERPINE2	1	0	2	2
LOC105373908	0	0	0	0
FAM124B	0	0	0	0
CUL3	3	2	1	1
LOC105373909	0	0	0	0
LOC105373910	0	0	0	0
LOC105373911	0	0	0	0
DOCK10	9	11	6	18
MIR4439	0	0	0	0
NYAP2	0	0	0	0
LOC105373914	0	1	0	0
LOC107985992	0	0	0	0
LOC646736	0	0	0	0
LOC105373915	0	0	0	0
MIR5702	0	0	0	0
IRS1	0	1	0	2
RHBDD1	4	4	0	0
COL4A4	4	7	10	5
COL4A3	7	6	9	10
MFF-DT	0	2	1	1
MFF	2	3	2	3
TM4SF20	1	3	2	2
MIR5703	0	0	0	0
AGFG1	2	0	1	0
C2orf83	0	1	0	0
LOC729968	0	0	0	0
SLC19A3	0	0	0	0
CCL20	0	0	0	0
DAW1	0	0	0	0
LOC105373918	0	0	0	0
SPHKAP	0	0	0	0
LOC107985993	0	0	0	0
LINC01807	0	0	0	0
LOC105373921	0	0	0	0
LOC105373920	0	0	0	0
LOC105373919	0	0	0	0
PID1	0	0	0	0
DNER	0	0	0	0
LOC107985994	0	0	0	0
LOC105373923	0	0	0	0
TRIP12	1	4	4	3
FBXO36	0	0	0	0
LOC105373924	0	0	0	0
LOC107985996	0	0	0	0
SLC16A14	0	0	0	0
LOC107985995	0	0	0	0
LOC107985997	0	0	0	0
SP110	0	0	0	1
SP140	0	1	0	0
SP140L	0	0	0	1
LOC105373925	78	107	56	90
SP100	1	1	0	0
LOC101928816	1	2	0	4
LOC112268431	0	0	0	0
LINC01907	0	0	0	0
CAB39	14	12	9	19
ITM2C	7	2	0	5
GCSIR	0	0	0	0
GPR55	0	0	0	0
SPATA3-AS1	0	0	0	1
SPATA3	0	0	0	0
C2orf72	0	0	1	2
LOC112268432	1220	1041	1009	1182
PSMD1	3	2	2	6
HTR2B	2	0	2	4
ARMC9	1	0	0	0
MIR4777	0	0	0	0
B3GNT7	0	0	0	0
NCL	31	15	23	35
SNORA75	0	0	0	0
SNORD20	0	0	0	0
SNORD82	0	0	0	0
LOC107985998	0	0	0	0
LINC00471	0	0	0	0
NMUR1	0	0	0	0
LOC105376787	0	0	0	0
TEX44	0	0	0	0
LOC105373928	0	1	0	1
PTMA	255	60	97	183
MIR1244-1	0	0	0	0
PDE6D	0	0	0	0
COPS7B	0	0	0	2
MIR1471	0	0	0	0
NPPC	0	0	0	0
DIS3L2	0	1	0	0
MIR562	0	0	0	0
ALPP	0	0	0	0
ECEL1P2	0	0	0	0
ALPG	1	0	0	1
LOC107985999	0	1	0	0
ALPI	0	0	0	0
ECEL1	0	0	0	0
PRSS56	0	0	0	0
CHRND	0	1	0	0
CHRNG	9	3	3	18
TIGD1	2	0	1	0
MIR5001	1	0	0	0
EIF4E2	0	3	0	3
LOC105373929	1	0	0	0
EFHD1	0	0	0	0
GIGYF2	0	4	0	9
KCNJ13	1	2	0	2
SNORC	12	10	6	19
NGEF	58	47	44	49
LOC101928881	26	18	14	18
NEU2	0	0	0	0
INPP5D	0	0	0	0
ATG16L1	0	0	0	0
SCARNA5	0	0	0	0
SCARNA6	0	0	0	0
SAG	0	0	0	0
DGKD	3	4	3	3
USP40	2	24	10	15
UGT1A8	0	0	0	0
UGT1A10	1	0	0	0
UGT1A9	0	0	0	0
UGT1A7	0	0	0	0
UGT1A6	0	1	0	1
UGT1A5	0	0	0	0
UGT1A4	0	0	0	0
UGT1A3	0	0	0	0
DNAJB3	8	13	7	17
LOC100286922	15	20	17	23
UGT1A1	1	0	0	0
MROH2A	3	4	4	3
HJURP	0	3	0	2
MSL3P1	0	1	0	2
TRPM8	0	0	0	0
SPP2	0	0	0	0
LOC105373932	0	0	0	0
LOC105373933	0	0	0	0
LINC01891	0	0	0	0
ARL4C	1	3	0	4
LOC105373936	0	0	0	0
LINC01173	0	0	0	0
LOC101927896	0	0	0	0
LOC105373937	0	0	0	0
LOC105373938	0	1	0	1
SH3BP4	1	0	0	2
LOC105373939	0	0	1	2
LOC105373940	0	0	0	0
LOC105373941	0	0	0	0
AGAP1	0	2	3	1
AGAP1-IT1	0	0	0	0
TNRC17	1	2	1	0
LOC105373943	0	0	0	1
LOC107986000	0	0	0	0
LOC105373942	3	5	0	1
LOC105373944	0	0	0	0
GBX2	7	7	9	7
ASB18	1	0	0	1
IQCA1	0	0	2	0
LOC105373945	0	0	0	0
ACKR3	0	0	0	0
LOC105373991	0	0	0	0
LOC107986001	0	0	0	0
LOC105373946	0	0	0	0
LOC105373947	0	0	0	0
LOC105373948	0	0	0	0
LOC105373949	0	0	0	0
LOC107986002	0	0	0	0
LOC105373951	0	0	0	0
LOC93463	0	0	0	0
LOC105373950	0	3	0	2
COPS8	0	0	0	0
LOC105373952	0	0	0	0
LOC105373953	0	0	0	0
LOC105373954	0	0	0	0
COL6A3	0	0	0	0
LOC105373957	1	0	0	0
MLPH	7	5	1	10
MIR6811	0	0	0	0
PRLH	0	0	0	0
RAB17	3	3	0	5
LOC105373958	0	0	0	0
LRRFIP1	2	4	3	3
RBM44	0	0	0	0
RAMP1	0	0	0	0
LOC105373960	0	0	0	0
UBE2F-SCLY	0	0	0	0
UBE2F	1	0	1	0
SCLY	0	0	0	0
ESPNL	0	0	0	0
KLHL30	0	0	0	0
ERFE	0	0	0	0
ILKAP	0	0	0	1
LINC02610	0	0	0	0
TARDBPP3	0	0	0	0
HES6	1	0	0	0
PER2	5	3	3	0
LOC112268433	2	2	2	2
LOC105373961	2	0	0	0
TRAF3IP1	26	17	11	19
ASB1	1	4	4	0
LOC107986003	470	245	283	279
LINC01107	0	0	0	0
LOC112268434	0	0	0	0
LOC105373963	0	0	0	0
LINC01937	0	0	0	0
LOC100287387	0	0	0	0
TWIST2	0	0	0	0
LINC01940	0	0	0	0
HDAC4	1	0	1	2
MIR4440	0	0	0	0
MIR4441	0	0	0	0
